Celleneuve;Renaudel;Marie Curie;Petit Bard;Tonnelles;Belvédère;Saint-Clément;Las Cazes;Espérance;Saint-Gabriel;Las Sorbes;Érables;Louvain;Avenue de l'Agriculture;Glycines;Paladilhe;Doria;Saint-Roch;La Pile;Hippolyte Rech;Pierre d'Adhémar;Fac de Pharmacie;Saint-Éloi;Henri Dunant;Sainte-Odile;Marie Caizergues;Nazareth;Pierre Rouge;Aiguelongue;Clolus;Alpilles;Chantecler;Pioch de Boutonnet;Moulin de Gasconnet;René Bougnol;Antoine-Laurent de Jussieu;Aiguelongue (Jussieu)
13:21;13:23;13:25;13:25;13:26;13:29;13:29;13:30;13:31;13:32;13:33;13:34;13:35;13:35;13:36;13:37;13:38;13:40;13:42;13:44;13:46;13:48;13:48;13:51;13:51;13:52;13:54;13:56;13:56;13:56;13:57;13:57;13:58;14:01;14:01;14:02;14:03
13:39;13:41;13:43;13:43;13:44;13:48;13:48;13:49;13:50;13:51;13:52;13:53;13:54;13:54;13:55;13:56;13:57;13:59;14:01;14:03;14:05;14:07;14:07;14:10;14:10;14:11;14:13;14:15;14:15;14:15;14:16;14:16;14:17;14:20;14:20;14:21;14:23
14:00;14:02;14:04;14:04;14:05;14:09;14:09;14:10;14:11;14:11;14:12;14:13;14:14;14:14;14:15;14:16;14:17;14:19;14:20;14:22;14:24;14:26;14:26;14:29;14:29;14:30;14:32;14:34;14:34;14:34;14:35;14:35;14:36;14:39;14:39;14:40;14:42
14:21;14:23;14:25;14:25;14:26;14:30;14:30;14:31;14:32;14:32;14:33;14:34;14:35;14:35;14:36;14:37;14:38;14:40;14:41;14:43;14:45;14:47;14:47;14:50;14:50;14:51;14:53;14:55;14:55;14:55;14:56;14:56;14:57;15:00;15:00;15:01;15:03
14:41;14:43;14:45;14:45;14:46;14:50;14:50;14:51;14:52;14:52;14:53;14:54;14:55;14:55;14:56;14:57;14:58;15:00;15:01;15:03;15:05;15:07;15:07;15:10;15:10;15:11;15:13;15:15;15:15;15:15;15:16;15:16;15:17;15:20;15:20;15:21;15:23
15:02;15:04;15:06;15:06;15:07;15:11;15:11;15:12;15:13;15:14;15:15;15:16;15:17;15:17;15:18;15:19;15:20;15:22;15:23;15:25;15:27;15:29;15:29;15:32;15:32;15:33;15:35;15:37;15:37;15:37;15:38;15:38;15:39;15:42;15:42;15:43;15:45
15:22;15:24;15:26;15:26;15:27;15:31;15:31;15:32;15:33;15:34;15:35;15:36;15:37;15:37;15:38;15:39;15:40;15:42;15:43;15:45;15:47;15:49;15:49;15:52;15:52;15:53;15:55;15:57;15:57;15:57;15:58;15:58;15:59;16:02;16:02;16:03;16:05
15:41;15:43;15:45;15:45;15:46;15:50;15:50;15:51;15:52;15:53;15:54;15:55;15:56;15:56;15:57;15:58;15:59;16:01;16:03;16:05;16:07;16:09;16:09;16:13;16:13;16:14;16:16;16:18;16:18;16:18;16:19;16:19;16:20;16:23;16:23;16:24;16:26
16:02;16:04;16:06;16:06;16:07;16:11;16:11;16:12;16:13;16:14;16:15;16:16;16:17;16:17;16:18;16:20;16:20;16:23;16:25;16:27;16:28;16:31;16:31;16:36;16:36;16:37;16:40;16:42;16:42;16:42;16:43;16:43;16:44;16:47;16:47;16:48;16:50
16:21;16:23;16:25;16:25;16:26;16:30;16:30;16:31;16:32;16:33;16:34;16:35;16:36;16:36;16:37;16:39;16:40;16:43;16:45;16:47;16:49;16:52;16:52;16:57;16:57;16:58;17:01;17:03;17:03;17:03;17:04;17:04;17:05;17:09;17:09;17:10;17:12
16:41;16:43;16:45;16:45;16:47;16:52;16:52;16:53;16:54;16:55;16:56;16:57;16:58;16:58;16:59;17:01;17:02;17:05;17:07;17:10;17:12;17:15;17:15;17:20;17:20;17:21;17:24;17:26;17:26;17:26;17:27;17:27;17:28;17:32;17:32;17:33;17:35
17:04;17:06;17:08;17:08;17:10;17:15;17:15;17:16;17:17;17:18;17:19;17:20;17:21;17:21;17:22;17:24;17:25;17:28;17:30;17:33;17:35;17:38;17:38;17:43;17:43;17:44;17:47;17:49;17:49;17:49;17:50;17:50;17:51;17:55;17:55;17:56;17:58
17:27;17:29;17:31;17:31;17:33;17:38;17:38;17:39;17:40;17:41;17:42;17:43;17:44;17:44;17:45;17:47;17:48;17:51;17:53;17:55;17:57;18:00;18:00;18:05;18:05;18:06;18:09;18:11;18:11;18:11;18:12;18:12;18:13;18:16;18:16;18:17;18:19
17:48;17:50;17:52;17:52;17:53;17:58;17:58;17:59;18:00;18:01;18:02;18:03;18:04;18:04;18:05;18:07;18:08;18:10;18:12;18:14;18:16;18:19;18:19;18:23;18:23;18:24;18:27;18:29;18:29;18:29;18:30;18:30;18:31;18:34;18:34;18:35;18:37
18:08;18:10;18:12;18:12;18:13;18:18;18:18;18:19;18:20;18:21;18:22;18:23;18:24;18:24;18:25;18:27;18:28;18:30;18:32;18:34;18:36;18:39;18:39;18:43;18:43;18:44;18:46;18:48;18:48;18:48;18:49;18:49;18:50;18:53;18:53;18:54;18:56
18:27;18:29;18:31;18:31;18:32;18:37;18:37;18:38;18:39;18:40;18:41;18:42;18:43;18:43;18:44;18:46;18:46;18:49;18:51;18:53;18:54;18:57;18:57;19:00;19:00;19:01;19:03;19:05;19:05;19:05;19:06;19:06;19:07;19:10;19:10;19:11;19:13
18:47;18:49;18:51;18:51;18:52;18:56;18:56;18:57;18:58;18:58;18:59;19:00;19:01;19:01;19:02;19:03;19:04;19:06;19:08;19:10;19:12;19:14;19:14;19:17;19:17;19:18;19:20;19:22;19:22;19:22;19:23;19:23;19:24;19:27;19:27;19:28;19:30
19:06;19:08;19:10;19:10;19:11;19:14;19:14;19:15;19:16;19:16;19:17;19:18;19:19;19:19;19:20;19:21;19:22;19:24;19:25;19:27;19:29;19:31;19:31;19:34;19:34;19:35;19:37;19:39;19:39;19:39;19:40;19:40;19:41;19:43;19:43;19:44;19:46
19:30;19:32;19:34;19:34;19:35;19:38;19:38;19:39;19:40;19:40;19:41;19:42;19:43;19:43;19:44;19:45;19:46;19:47;19:49;19:50;19:52;19:54;19:54;19:57;19:57;19:58;20:00;20:02;20:02;20:02;20:03;20:03;20:04;20:06;20:06;20:07;20:08
20:00;20:02;20:04;20:04;20:05;20:08;20:08;20:08;20:09;20:10;20:10;20:11;20:12;20:12;20:13;20:14;20:15;20:16;20:18;20:19;20:21;20:23;20:23;20:26;20:26;20:26;20:28;20:30;20:30;20:30;20:31;20:31;20:32;20:34;20:34;20:35;20:36
20:30;20:31;20:33;20:33;20:33;20:36;20:36;20:36;20:37;20:38;20:38;20:39;20:40;20:40;20:40;20:42;20:42;20:44;20:45;20:47;20:48;20:50;20:50;20:52;20:52;20:52;20:54;20:56;20:56;20:56;20:57;20:57;20:58;21:00;21:00;21:01;21:02
