Aiguelongue (Jussieu);Antoine-Laurent de Jussieu;René Bougnol;Moulin de Gasconnet;Pioch de Boutonnet;Chantecler;Alpilles;Clolus;Aiguelongue;Pierre Rouge;Nazareth;Marie Caizergues;Sainte-Odile;Henri Dunant;Saint-Éloi;Pierre d'Adhémar;Hippolyte Rech;Charles Flahault;Paladilhe;Glycines;Avenue de l'Agriculture;Louvain;Érables;Las Sorbes;Saint-Gabriel;Espérance;Las Cazes;Saint-Clément;Belvédère;Tonnelles;Petit Bard;Marie Curie;Renaudel;Celleneuve
16:50;16:50;16:51;16:52;16:54;16:54;16:55;16:55;16:56;16:57;16:57;16:59;17:00;17:05;17:05;17:07;17:08;17:09;17:11;17:13;17:13;17:13;17:14;17:15;17:16;17:16;17:18;17:18;17:19;17:24;17:24;17:27;17:30;17:30
17:10;17:10;17:11;17:12;17:14;17:14;17:15;17:15;17:16;17:17;17:17;17:19;17:20;17:25;17:25;17:27;17:28;17:29;17:31;17:33;17:33;17:33;17:34;17:35;17:36;17:36;17:38;17:38;17:39;17:44;17:44;17:47;17:50;17:50
17:30;17:30;17:31;17:32;17:34;17:34;17:35;17:35;17:36;17:37;17:37;17:39;17:40;17:45;17:45;17:47;17:48;17:49;17:51;17:53;17:53;17:53;17:54;17:55;17:56;17:56;17:58;17:58;17:59;18:04;18:04;18:07;18:10;18:10
17:50;17:50;17:51;17:52;17:54;17:54;17:55;17:55;17:56;17:57;17:57;17:59;18:00;18:05;18:05;18:07;18:08;18:09;18:11;18:13;18:13;18:13;18:14;18:15;18:16;18:16;18:18;18:18;18:19;18:24;18:24;18:27;18:30;18:30
18:10;18:10;18:11;18:12;18:14;18:14;18:15;18:15;18:16;18:17;18:17;18:19;18:20;18:25;18:25;18:27;18:28;18:29;18:31;18:33;18:33;18:33;18:34;18:35;18:36;18:36;18:38;18:38;18:39;18:43;18:43;18:45;18:48;18:48
18:30;18:30;18:31;18:32;18:34;18:34;18:35;18:35;18:36;18:37;18:37;18:39;18:40;18:45;18:45;18:47;18:48;18:49;18:51;18:53;18:53;18:53;18:54;18:55;18:56;18:56;18:58;18:58;18:59;19:03;19:03;19:05;19:08;19:08
18:50;18:50;18:51;18:52;18:54;18:54;18:55;18:55;18:56;18:57;18:57;18:59;19:00;19:05;19:05;19:07;19:08;19:09;19:11;19:13;19:13;19:13;19:14;19:14;19:15;19:16;19:17;19:17;19:18;19:21;19:21;19:23;19:26;19:26
19:10;19:10;19:11;19:12;19:13;19:13;19:14;19:14;19:15;19:16;19:16;19:18;19:19;19:24;19:24;19:26;19:26;19:27;19:30;19:31;19:31;19:31;19:32;19:32;19:33;19:34;19:35;19:35;19:36;19:39;19:39;19:41;19:44;19:44
19:30;19:30;19:31;19:32;19:33;19:33;19:34;19:34;19:35;19:36;19:36;19:38;19:39;19:44;19:44;19:46;19:46;19:47;19:50;19:51;19:51;19:51;19:52;19:52;19:53;19:54;19:55;19:55;19:55;19:58;19:58;20:00;20:02;20:02
19:50;19:50;19:51;19:52;19:53;19:53;19:54;19:54;19:55;19:55;19:56;19:57;19:58;20:02;20:02;20:04;20:04;20:05;20:08;20:09;20:09;20:09;20:10;20:10;20:11;20:12;20:13;20:13;20:13;20:16;20:16;20:18;20:20;20:20
20:15;20:15;20:16;20:17;20:18;20:18;20:19;20:19;20:20;20:20;20:21;20:22;20:23;20:30;20:30;20:31;20:32;20:33;20:35;20:36;20:36;20:36;20:36;20:37;20:37;20:38;20:39;20:39;20:39;20:42;20:42;20:44;20:46;20:46
