Grammont;Cimetière Saint-Étienne;Albert Einstein;Zénith;Georges Méliès;Place de France;Samuel Morse;Évariste Galois;Guglielmo Marconi;Volta Fizeau;Louis Lépine;Eurêka;Alfred Nobel;Pinville;François Couperin;Vieille Poste;Saint-Michel;Place de l'Europe;Paul Painlevé;Colverts;Saint-Jean;Marie Durand;André Malraux;Semard;Pierre Laroque;Apollo
12:48;12:49;12:49;12:51;12:56;12:56;12:57;12:58;13:00;13:01;13:01;13:02;13:03;13:04;13:05;13:06;13:08;13:10;13:13;13:15;13:15;13:17;13:17;13:18;13:18;13:20
13:03;13:04;13:04;13:06;13:11;13:11;13:12;13:13;13:15;13:16;13:16;13:17;13:18;13:19;13:20;13:21;13:23;13:25;13:28;13:30;13:30;13:32;13:32;13:33;13:33;13:35
13:18;13:19;13:19;13:21;13:26;13:26;13:27;13:28;13:30;13:31;13:31;13:32;13:33;13:34;13:35;13:36;13:38;13:40;13:43;13:45;13:45;13:47;13:47;13:48;13:48;13:50
13:32;13:33;13:33;13:35;13:40;13:40;13:42;13:43;13:44;13:46;13:46;13:47;13:48;13:49;13:50;13:51;13:53;13:55;13:58;14:00;14:00;14:02;14:02;14:03;14:03;14:05
13:45;13:46;13:47;13:49;13:54;13:54;13:56;13:57;13:58;14:00;14:00;14:01;14:02;14:03;14:04;14:05;14:07;14:10;14:13;14:15;14:15;14:17;14:17;14:18;14:18;14:20
14:00;14:01;14:02;14:04;14:09;14:09;14:11;14:12;14:13;14:15;14:15;14:16;14:17;14:18;14:19;14:20;14:22;14:25;14:28;14:30;14:30;14:32;14:32;14:33;14:33;14:35
14:15;14:16;14:17;14:19;14:24;14:24;14:26;14:27;14:28;14:30;14:30;14:31;14:32;14:33;14:34;14:35;14:37;14:40;14:43;14:45;14:45;14:47;14:47;14:48;14:48;14:50
14:30;14:31;14:32;14:34;14:39;14:39;14:41;14:42;14:43;14:45;14:45;14:46;14:47;14:48;14:49;14:50;14:52;14:55;14:58;15:00;15:00;15:02;15:02;15:03;15:03;15:05
14:45;14:46;14:47;14:49;14:54;14:54;14:56;14:57;14:58;15:00;15:00;15:01;15:02;15:03;15:04;15:05;15:07;15:10;15:13;15:15;15:15;15:17;15:17;15:18;15:18;15:20
15:00;15:01;15:02;15:04;15:09;15:09;15:11;15:12;15:13;15:15;15:15;15:16;15:17;15:18;15:19;15:20;15:22;15:25;15:28;15:30;15:30;15:32;15:32;15:33;15:33;15:35
15:15;15:16;15:17;15:19;15:24;15:24;15:26;15:27;15:28;15:30;15:30;15:31;15:32;15:33;15:34;15:35;15:37;15:40;15:43;15:45;15:45;15:47;15:47;15:48;15:48;15:50
15:30;15:31;15:32;15:34;15:39;15:39;15:41;15:42;15:43;15:45;15:45;15:46;15:47;15:48;15:49;15:50;15:52;15:55;15:58;16:00;16:00;16:02;16:02;16:03;16:03;16:05
