Pierre de Coubertin;Mas de Bellevue;Comté de Nice;Corse;Jacques Prévert;Place d'Italie;Carriéra;Pierre Cardenal;Comté de Toulouse;Raimbaud d'Orange;Hauts de Massane;Gémeaux;Saint-Paul;Halles de la Paillade;Oxford;Lycée Léonard de Vinci;Hôtel du Département
17:18;17:20;17:20;17:20;17:22;17:24;17:25;17:26;17:27;17:28;17:28;17:31;17:32;17:35;17:37;17:38;17:44
17:29;17:31;17:31;17:31;17:33;17:35;17:36;17:37;17:38;17:39;17:39;17:42;17:42;17:45;17:47;17:48;17:54
17:40;17:42;17:42;17:42;17:44;17:46;17:47;17:48;17:49;17:50;17:50;17:53;17:53;17:56;17:58;17:59;18:05
17:50;17:52;17:52;17:52;17:54;17:56;17:57;17:58;17:59;18:00;18:00;18:03;18:03;18:06;18:08;18:09;18:15
18:00;18:02;18:02;18:02;18:04;18:06;18:07;18:08;18:09;18:10;18:10;18:13;18:13;18:16;18:18;18:19;18:24
18:11;18:13;18:13;18:13;18:15;18:17;18:18;18:19;18:20;18:21;18:21;18:24;18:24;18:27;18:29;18:30;18:35
18:22;18:24;18:24;18:24;18:26;18:28;18:29;18:30;18:31;18:32;18:32;18:35;18:35;18:37;18:39;18:40;18:44
18:32;18:34;18:34;18:34;18:36;18:38;18:39;18:40;18:41;18:42;18:42;18:44;18:44;18:46;18:48;18:49;18:53
18:42;18:44;18:44;18:44;18:46;18:48;18:49;18:50;18:51;18:52;18:52;18:54;18:54;18:56;18:58;18:59;19:03
18:52;18:54;18:54;18:54;18:55;18:57;18:58;18:59;19:00;19:01;19:01;19:03;19:03;19:05;19:07;19:08;19:12
19:02;19:04;19:04;19:04;19:05;19:07;19:08;19:09;19:10;19:11;19:11;19:13;19:13;19:15;19:17;19:18;19:22
19:12;19:14;19:14;19:14;19:15;19:17;19:18;19:19;19:20;19:21;19:21;19:23;19:23;19:25;19:27;19:28;19:32
19:25;19:27;19:27;19:27;19:28;19:30;19:31;19:32;19:33;19:34;19:34;19:36;19:36;19:38;19:40;19:41;19:45
19:40;19:42;19:42;19:42;19:43;19:45;19:46;19:47;19:48;19:49;19:49;19:51;19:51;19:53;19:55;19:56;20:00
19:55;19:57;19:57;19:57;19:58;20:00;20:00;20:01;20:02;20:03;20:03;20:05;20:05;20:07;20:09;20:09;20:13
20:15;20:17;20:17;20:17;20:18;20:20;20:20;20:21;20:22;20:23;20:23;20:25;20:25;20:27;20:28;20:28;20:32
20:35;20:36;20:36;20:36;20:37;20:39;20:39;20:40;20:41;20:42;20:42;20:44;20:44;20:46;20:47;20:47;20:51
